"id","title","latitude","longitude","pleiades","author","rank","latlong"
"50453","Salamis",0,0,"no Pleiades ID yet","Scheidel",9,"0:0"
"50334","Saldae",36.74,5.058,"305142","Scheidel",8,"36.74:5.058"
"50335","Salernum",40.678,14.766,"433075","Scheidel",8,"40.678:14.766"
"50336","Salona",43.54,16.483,"197488","Scheidel",9,"43.54:16.483"
"50337","Samarobriva",49.892,2.299,"no Pleiades ID yet","Scheidel",7,"49.892:2.299"
"50338","Samosata",37.565,38.471,"658587","Scheidel",9,"37.565:38.471"
"50339","Santicum",46.616,13.849,"187537","Scheidel",7,"46.616:13.849"
"50340","Sardis",38.488,28.04,"550867","Scheidel",9,"38.488:28.04"
"50341","Sarmizegethusa",45.623,23.31,"no Pleiades ID yet","Scheidel",8,"45.623:23.31"
"50342","Satala",40.029,39.654,"874684","Scheidel",8,"40.029:39.654"
"50343","Savaria",47.235,16.622,"197498","Scheidel",8,"47.235:16.622"
"50344","Scarbantia",47.685,16.583,"197501","Scheidel",8,"47.685:16.583"
"50345","Scodra",42.074,19.528,"481986","Scheidel",8,"42.074:19.528"
"50346","Scythopolis",32.61,35.477,"678378","Scheidel",9,"32.61:35.477"
"50347","Sebasteia",39.75,37.015,"629075","Scheidel",9,"39.75:37.015"
"50348","Segusio",45.138,7.048,"167919","Scheidel",7,"45.138:7.048"
"50454","Seleukeia Pieria",0,0,"no Pleiades ID yet","Scheidel",9,"0:0"
"50349","Senia",44.99,14.901,"197505","Scheidel",8,"44.99:14.901"
"50350","Serdica",42.723,23.343,"207439","Scheidel",9,"42.723:23.343"
"50351","Servitium",45.151,17.256,"197509","Scheidel",7,"45.151:17.256"
"50352","Sicca Veneria",36.179,8.71,"315152","Scheidel",8,"36.179:8.71"
"50353","Side",36.776,31.398,"639105","Scheidel",9,"36.776:31.398"
"50354","Siga",35.24,-1.455,"285521","Scheidel",8,"35.24:-1.455"
"50355","Singara",36.404,42.219,"874699","Scheidel",9,"36.404:42.219"
"50356","Singidunum",44.802,20.466,"207443","Scheidel",9,"44.802:20.466"
"50357","Sinuessa",41.25,14.25,"433122","Scheidel",8,"41.25:14.25"
"50358","Sipontum",41.607,15.896,"442797","Scheidel",8,"41.607:15.896"
"50359","Sirmium",44.966,19.61,"207447","Scheidel",9,"44.966:19.61"
"50360","Sisapo",38.645,-4.518,"266043","Scheidel",7,"38.645:-4.518"
"50361","Siscia",45.483,16.371,"197504","Scheidel",9,"45.483:16.371"
"50362","Sitifis",36.237,5.41,"305153","Scheidel",9,"36.237:5.41"
"50363","Smyrna",38.25,27.25,"550893","Scheidel",9,"38.25:27.25"
"50364","Soura",35.864,38.914,"668376","Scheidel",7,"35.864:38.914"
"50365","Spinis",51.412,-1.344,"79692/","Scheidel",6,"51.412:-1.344"
"50366","Spoletium",42.745,12.738,"413320","Scheidel",9,"42.745:12.738"
"50367","Stobi",41.531,21.978,"491731","Scheidel",8,"41.531:21.978"
"50368","Sufasar",36.192,2.515,"295346","Scheidel",8,"36.192:2.515"
"50369","Sufetula",35.239,9.121,"324816","Scheidel",8,"35.239:9.121"
"50370","Summuntorium",48.646,10.826,"118986","Scheidel",7,"48.646:10.826"
"50372","Summus Pyreneus (East)",42.758,-0.828,"246672","Scheidel",6,"42.758:-0.828"
"50371","Summus Pyreneus (West)",43.02,-1.324,"246671","Scheidel",6,"43.02:-1.324"
"50373","Syene",24.096,32.905,"786123","Scheidel",8,"24.096:32.905"
"50455","Syracusae",0,0,"no Pleiades ID yet","Scheidel",9,"0:0"
"50376","Tabia",39.889,34.448,"619267","Scheidel",8,"39.889:34.448"
"50374","Tacape",33.883,10.099,"no Pleiades ID yet","Scheidel",9,"33.883:10.099"
"50375","Taliata",44.444,22.144,"207485","Scheidel",7,"44.444:22.144"
"50377","Tarentum",40.469,17.24,"442810","Scheidel",9,"40.469:17.24"
"50378","Tarracina",41.291,13.249,"433143","Scheidel",9,"41.291:13.249"
"50379","Tarraco",41.12,1.251,"no Pleiades ID yet","Scheidel",10,"41.12:1.251"
"50380","Tarsus",36.916,34.901,"648789","Scheidel",9,"36.916:34.901"
"50381","Teanum",41.255,14.056,"no Pleiades ID yet","Scheidel",8,"41.255:14.056"
"50382","Terenouthis",30.432,30.816,"727244","Scheidel",7,"30.432:30.816"
"50383","Tergeste",45.649,13.772,"187578","Scheidel",8,"45.649:13.772"
"50449","Thabraca",0,0,"no Pleiades ID yet","Scheidel",8,"0:0"
"50384","Thagaste",36.284,7.955,"315198","Scheidel",8,"36.284:7.955"
"50385","Thamugadi",35.485,6.468,"334636","Scheidel",8,"35.485:6.468"
"50386","Thebae",38.322,23.319,"541138","Scheidel",8,"38.322:23.319"
"50150","Thebai",25.702,32.652,"no Pleiades ID yet","Scheidel",8,"25.702:32.652"
"50387","Thelepte",34.979,8.595,"324828","Scheidel",8,"34.979:8.595"
"50388","Thelseai",33.648,36.665,"678427","Scheidel",6,"33.648:36.665"
"50389","Thessalonica",40.626,22.956,"491741","Scheidel",9,"40.626:22.956"
"50390","Theveste",35.407,8.121,"324831","Scheidel",8,"35.407:8.121"
"50391","Thuburnica",36.529,8.455,"315221","Scheidel",8,"36.529:8.455"
"50392","Tibiscum",45.459,22.186,"207495","Scheidel",8,"45.459:22.186"
"50393","Tibur",41.964,12.798,"423081","Scheidel",8,"41.964:12.798"
"50395","Ticinum",45.186,9.157,"383798","Scheidel",7,"45.186:9.157"
"50396","Tingi",35.788,-5.81,"275736","Scheidel",9,"35.788:-5.81"
"50398","Tolosa",43.604,1.443,"246694","Scheidel",8,"43.604:1.443"
"50399","Tomis",44.173,28.638,"217016","Scheidel",8,"44.173:28.638"
"50400","Tralles",37.853,27.844,"599987","Scheidel",8,"37.853:27.844"
"50401","Trapezus",41.003,39.718,"857359","Scheidel",8,"41.003:39.718"
"50402","Tridentum",46.067,11.119,"383804","Scheidel",8,"46.067:11.119"
"50403","Troesmis",45.164,28.189,"217025","Scheidel",8,"45.164:28.189"
"50394","Tubusuctu",36.669,4.828,"no Pleiades ID yet","Scheidel",8,"36.669:4.828"
"50404","Tyana",37.894,34.56,"648801","Scheidel",8,"37.894:34.56"
"50405","Tyrus",33.272,35.198,"678437","Scheidel",9,"33.272:35.198"
"50125","Ulpia Traiana Tricensimae",51.669,6.446,"108896","Scheidel",8,"51.669:6.446"
"50406","Valentia",44.93,4.89,"167718","Scheidel",8,"44.93:4.89"
"50407","Vappincum",44.56,6.076,"167954","Scheidel",7,"44.56:6.076"
"50408","Veldidena",47.254,11.4,"187608","Scheidel",6,"47.254:11.4"
"50409","Venonis",52.494,-1.301,"79732/","Scheidel",6,"52.494:-1.301"
"50412","Venta",51.063,-1.317,"no Pleiades ID yet","Scheidel",8,"51.063:-1.317"
"50411","Venta Icenorum",52.578,1.288,"79735/","Scheidel",8,"52.578:1.288"
"50410","Venusia",40.963,15.815,"no Pleiades ID yet","Scheidel",8,"40.963:15.815"
"50413","Vercellae",45.321,8.426,"383815","Scheidel",8,"45.321:8.426"
"50414","Verona",45.439,10.994,"383816","Scheidel",9,"45.439:10.994"
"50415","Verulamium",51.746,-0.355,"79739/","Scheidel",8,"51.746:-0.355"
"50416","Vesontio",47.241,6.025,"177657","Scheidel",8,"47.241:6.025"
"50433","Vesunna",0,0,"no Pleiades ID yet","Scheidel",8,"0:0"
"50417","Vibo Valentia",38.676,16.098,"452337","Scheidel",8,"38.676:16.098"
"50418","Vienna",45.525,4.879,"no Pleiades ID yet","Scheidel",9,"45.525:4.879"
"50419","Viminacium",44.716,21.167,"207549","Scheidel",8,"44.716:21.167"
"50420","Vindobona",48.211,16.374,"128537","Scheidel",8,"48.211:16.374"
"50421","Viroconium",52.67,-2.647,"79741/","Scheidel",8,"52.67:-2.647"
"50422","Virovesca",42.55,-3.323,"246748","Scheidel",7,"42.55:-3.323"
"50423","Virunum",46.703,14.36,"197583","Scheidel",9,"46.703:14.36"
"50424","Vivisco",46.459,6.847,"177663","Scheidel",6,"46.459:6.847"
"50425","Volsinii",42.645,11.986,"413389","Scheidel",8,"42.645:11.986"
"50426","Volubilis",34.084,-5.506,"275740","Scheidel",8,"34.084:-5.506"
"50434","Vorgium",0,0,"no Pleiades ID yet","Scheidel",7,"0:0"
"50441","Xanthos",0,0,"no Pleiades ID yet","Scheidel",8,"0:0"
"50427","Zarai",35.786,5.695,"334669","Scheidel",8,"35.786:5.695"
"50428","Zeugma",37.058,37.87,"658636","Scheidel",8,"37.058:37.87"
